ID,nest_name,nest_status,tree_species,country,canton,elev_swiss_maps,coordX,coordY,municipality,location
745,Heitenried_Schindelhus_21,active_24,Picea abies (Norwegian Spruce),Switzerland,FR,750.3,7.304957844,46.81506135,Heitenried,Schindelhus
746,Bösingen_gertholz_21,active_24,Pinus sylvestris (Scots pine),Switzerland,FR,570.7,7.247505791,46.89097946,Bösingen,Gertholz
747,Schwarzenburg_Stöcken_21,active_24,Abies alba (Silver fir),Switzerland,BE,843,7.346296034,46.79990709,Schwarzenburg,Stöcken
748,Schwarzenburg_Herrenholz_21,present,Abies alba (Silver fir),Switzerland,BE,868.9,7.351768137,46.8037687,Schwarzenburg,Herrenholz
749,Milken_Weizacker_21,nest gone,Abies alba (Silver fir),Switzerland,BE,792.2,7.387628315,46.79967267,Milken,Weizacker
750,Le_Mouret_Le Grâbo_21,present,Fraxinus sp (Ash),Switzerland,FR,735.8,7.182217409,46.74814879,Le,Mouret
751,St.Antoni_Schrick,present,Fagus sylvatica (Beech),Switzerland,FR,702.7,7.256616378,46.82055294,St.Antoni,Schrick
752,Ueberstorf_Guldifeld_21,nest gone,Fagus sylvatica (Beech),Switzerland,FR,704.2,7.329409799,46.87940843,Ueberstorf,Guldifeld
753,Ueberstorf_Hangried,active,Fagus sylvatica (Beech),Switzerland,FR,641.3,7.350408219,46.8720388,Ueberstorf,Hangried
754,Aeckenmatt_Mühle_21,active,Abies alba (Silver fir),Switzerland,BE,699,7.36134771,46.85280149,Aeckenmatt,Mühle
755,St.Sylvester_Unterbuech_21,nest gone,Fagus sylvatica (Beech),Switzerland,FR,717,7.202253517,46.75429464,St.Sylvester,Unterbuech
756,Neuenegg_Chropfhölzli,present,Fagus sylvatica (Beech),Switzerland,BE,546.1,7.28402513,46.89312783,Neuenegg,Chropfhölzli
757,Bösingen_Grenchen_21,present,Abies alba (Silver fir),Switzerland,FR,563,7.25023412,46.88930809,Bösingen,Grenchen
758,Ueberstorf_Bahnholz_21,present,Fagus sylvatica (Beech),Switzerland,FR,662.2,7.29715253,46.8668025,Ueberstorf,Bahnholz
759,Düdingen_Fuchsenacher_21,nest gone,Fagus sylvatica (Beech),Switzerland,FR,560.8,7.171154708,46.85617585,Düdingen,Fuchsenacher
760,Ueberstorf_Ledeu_21,present,Quercus robur (English Oak),Switzerland,FR,668.2,7.300734153,46.85912351,Ueberstorf,Ledeu
